Player,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Reggie Royals,Career,ABA,2,,5.5,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0
Bob Royer,Career,NBA,42,,,1.9,5.5,0.33799999999999997,,,,,,,,1.0,1.4,0.7070000000000001,,,,2.0,,,,1.7,4.7
Clifford Rozier,Career,NBA,173.0,64.0,17.2,2.0,4.1,0.496,0.0,0.1,0.182,2.0,4.0,0.501,0.498,0.7,1.6,0.465,2.2,3.0,5.2,0.6,0.5,0.7,0.9,2.5,4.8
Terry Rozier,Career,NBA,381.0,139.0,24.0,3.9,9.5,0.408,1.7,4.6,0.379,2.2,5.0,0.435,0.499,1.4,1.7,0.8170000000000001,0.6,3.2,3.8,2.8,0.8,0.2,1.2,1.4,10.9
Ricky Rubio,Career,NBA,609,573,30.5,3.6,9.2,.391,0.9,2.7,.325,2.7,6.5,.418,.438,3.0,3.6,.841,0.7,3.5,4.2,7.7,1.8,0.1,2.7,2.6,11.1
Guy Rucker,Career,NBA,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Delaney Rudd,Career,NBA,239.0,3.0,9.9,1.3,3.2,0.413,0.2,0.7,0.257,1.1,2.5,0.45899999999999996,0.442,0.6,0.8,0.7609999999999999,0.2,0.6,0.8,2.2,0.3,0.0,1.0,1.0,3.4
John Rudd,Career,NBA,58,,12.5,1.0,2.3,0.444,,,,,,,,1.1,1.6,0.71,1.2,1.7,2.9,0.6,0.3,0.1,1.0,1.6,3.2
Damjan Rudež,Career,NBA,146.0,2.0,11.2,1.2,2.8,0.424,0.7,1.9,0.373,0.5,0.9,0.535,0.552,0.2,0.2,0.774,0.1,0.5,0.6,0.6,0.2,0.0,0.5,1.0,3.3
John Rudometkin,Career,NBA,131.0,,12.5,2.4,6.0,0.39899999999999997,,,,,,,,1.5,2.0,0.743,,,3.1,0.5,,,,1.5,6.3
Michael Ruffin,Career,NBA,414,58,14.4,0.6,1.5,.407,0.0,0.0,.000,0.6,1.5,.409,.407,0.5,1.1,.459,1.8,2.2,3.9,0.6,0.5,0.5,0.7,2.3,1.7
