Player,index,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eligible,All Star,MVP,DPOY,All-NBA,All-Defensive,Sixth Man,ROY,Scoring Champ,AST Champ,TRB Champ,STL Champ,BLK Champ,NBA Champ,Hall of Fame,hof_prob,3P,3PA,3P%,2P,2PA,2P%,eFG%
James Bailey,15,Career,,,NBA,,595,105,19.5,3.4,7.1,.484,1.9,2.8,.703,1.7,3.3,5.0,0.8,0.5,0.9,1.8,3.3,8.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.077,3.4,7.1,.485,.484
Thurl Bailey,18,Career,,,NBA,,928,229,26.8,5.1,10.8,.473,2.5,3.1,.812,1.4,3.7,5.1,1.4,0.5,1.2,1.6,2.0,12.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.114,5.1,10.8,.474,.473
Vin Baker,17,Career,,,NBA,,791.0,604.0,32.5,5.9,12.2,0.485,3.1,4.8,0.638,2.9,4.6,7.4,1.9,0.7,1.0,2.2,3.2,15.0,1,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.2,0.215,5.9,12.0,0.49,0.48700000000000004
Greg Ballard,12,Career,,,NBA,,802,337,27.5,5.3,11.1,.472,1.8,2.3,.787,1.8,4.3,6.1,2.2,1.1,0.3,1.3,2.3,12.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,.338,5.1,10.8,.476,.477
Gene Banks,6,Career,,,NBA,,468.0,264.0,27.9,4.6,8.5,0.539,2.2,3.0,0.73,2.2,3.7,5.8,2.9,0.9,0.2,1.8,2.8,11.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.043,4.6,8.4,0.545,0.539
Mike Bantom,22,Career,,,NBA,,706,38,27.9,4.9,10.4,.468,2.4,3.4,.692,2.3,4.1,6.4,2.3,0.9,0.7,2.4,3.5,12.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,.200,4.9,10.4,.469,.468
Leandro Barbosa,18,Career,,,NBA,,850,112,21.6,4.0,8.7,.459,1.5,1.8,.821,0.4,1.6,2.0,2.1,0.8,0.1,1.2,1.9,10.6,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.2,3.0,.387,2.8,5.7,.498,.526
J.J. Barea,14,Career,,,NBA,,831.0,107.0,19.6,3.4,8.0,0.424,1.1,1.4,0.794,0.3,1.8,2.1,3.9,0.4,0.0,1.5,1.4,8.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8,0.35200000000000004,2.4,5.2,0.462,0.485
Andrea Bargnani,11,Career,,,NBA,,550,377,28.7,5.3,12.1,.439,2.5,3.0,.824,1.0,3.7,4.6,1.2,0.4,0.9,1.5,2.4,14.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.2,.354,4.2,8.9,.470,.486
Charles Barkley,16,Career,,,NBA,,1073.0,1012.0,36.7,7.9,14.5,0.541,5.9,8.1,0.735,4.0,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,1,11.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100,0.5,1.9,0.266,7.4,12.7,0.581,0.5579999999999999
Harrison Barnes,11,Career,,,NBA,,670.0,609.0,31.6,5.1,11.3,0.452,2.4,3.0,0.8,1.0,4.0,5.1,1.8,0.7,0.2,1.2,1.6,13.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.4,0.377,3.8,7.9,0.484,0.509
Jim Barnes,13,Career,,,NBA,,454.0,,20.8,3.4,7.9,0.429,2.0,2.9,0.684,,,6.5,0.8,,,,3.3,8.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Matt Barnes,18,Career,,,NBA,,929.0,359.0,23.6,3.0,6.9,0.436,1.1,1.5,0.745,1.1,3.5,4.6,1.8,0.8,0.5,1.3,2.5,8.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.2,0.335,1.9,3.7,0.522,0.513
Dick Barnett,15,Career,,,NBA,,971,,29.8,6.2,13.6,.456,3.4,4.5,.761,0.2,0.6,2.9,2.8,0.2,0.0,,2.6,15.8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,,,,,,,
Jim Barnett,13,Career,,,NBA,,732.0,,23.8,4.5,10.4,0.435,2.6,3.2,0.797,0.8,1.3,3.1,3.0,0.6,0.1,,2.1,11.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
John Barnhill,14,Career,,,TOT,,589.0,,23.6,3.4,8.5,0.406,1.6,2.4,0.6579999999999999,0.7,1.2,2.5,2.9,,,1.5,1.8,8.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.8,0.23600000000000002,3.3,7.7,0.423,0.41600000000000004
Dana Barros,15,Career,,,NBA,,850,264,22.9,3.9,8.4,.460,1.5,1.7,.858,0.3,1.6,1.9,3.3,0.9,0.1,1.4,1.3,10.5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.3,3.1,.411,2.6,5.3,.488,.536
Brent Barry,16,Career,,,NBA,,912.0,449.0,25.9,3.2,6.9,0.46,1.4,1.7,0.823,0.5,2.6,3.0,3.2,1.0,0.3,1.4,1.9,9.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.5,3.8,0.405,1.6,3.1,0.525,0.57
Jon Barry,16,Career,,,NBA,,821.0,36.0,16.9,1.9,4.5,0.434,1.1,1.2,0.848,0.4,1.5,1.8,2.2,0.9,0.1,1.0,1.2,5.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,0.392,1.1,2.4,0.47,0.524
